name,gender,street,city,state,county,email,phone,age,birthday,national_id,blood_type,disease
Ernest,male,45 Preston Rd,MORDEN HALL PARK,,United Kingdom,ErnestDGamble@rhyta.com,077 5349 5883,64,3/29/1955,RH 34 09 33 B,O+,Lichen Planus
Laurie,female,33 Overton Circle,LITTLEBREDY,,United Kingdom,LaurieKSlay@dayrep.com,070 4782 2608,26,5/18/1993,KJ 40 86 95 A,O+,Salzmann's Nodular Degeneration
Frank,male,112 Davis Avenue,Oakland,California,United States,FrankJMoseley@dayrep.com,707-749-9579,77,9/2/1942,561-99-8636,O-,Nipah virus infection
Angelo,male,762 Diane Street,San Miguel,California,United States,AngeloMCarey@dayrep.com,805-467-1065,68,12/21/1951,615-32-1347,O+,Osteomyelitis
Frances,female,27 Asfordby Rd,ALCOMBE,,United Kingdom,FrancesJBishop@jourrapide.com,077 5316 2734,61,1/10/1959,YJ 89 23 26 A,O+,Anthrax
Marissa,female,6 Jesmond Rd,KILMINGTON,,United Kingdom,MarissaMFranke@superrito.com,077 4934 4304,74,5/9/1945,LS 55 14 95 A,B+,Heat waves
Elise,female,54 Southlands Road,POLCHAR,,United Kingdom,EliseJKlatt@armyspy.com,077 2631 6385,44,7/10/1975,SJ 16 99 74 C,A+,Spheroidal Degeneration
Jeanette,female,49 Fordham Rd,HALAM,,United Kingdom,JeanetteTTrudeau@cuvox.de,070 3864 0157,56,12/16/1963,RT 02 84 54,A+,Spheroidal Degeneration
Melissa,female,445 Burning Memory Lane,Yardley,Pennsylvania,United States,MelissaWRoss@einrot.com,215-321-4930,42,9/4/1977,186-16-4734,B+,Scabies
Curtis,male,999 Kincheloe Road,Tigard,Oregon,United States,CurtisAManson@rhyta.com,503-524-6731,58,2/10/1962,543-62-4978,A+,Cavernous Haemangioma of Eyelid
Carol,female,731 Pennsylvania Avenue,Lakewood,New Jersey,United States,CarolMHale@teleworm.us,732-364-2501,65,12/22/1954,157-44-3211,A+,Hemangioma
Robert,male,2244 Burnside Avenue,Castle Dale,Utah,United States,RobertBPatino@rhyta.com,435-749-7350,38,1/13/1982,529-54-2864,O+,Dementia
Kathleen,female,40 Kendell Street,SHAW,,United Kingdom,KathleenRButler@rhyta.com,070 1672 4434,22,2/4/1998,NW 52 56 98,B+,Atherosclerosis
David,male,45 Tadcaster Rd,PILSLEY,,United Kingdom,DavidDWoods@dayrep.com,079 7141 5465,84,1/24/1936,JS 52 07 48 A,B+,Commotio Retinae
Eric,male,92 Worthy Lane,MAYLANDSEA,,United Kingdom,EricASmith@fleckens.hu,077 1597 9324,26,4/8/1993,NW 07 09 54 C,A+,Epiblepharon
Andrea,female,26 Cefn Road,FARNDON,,United Kingdom,AndreaRSullins@superrito.com,070 4498 9366,83,5/20/1936,JR 71 33 84,B+,Xanthelasma
Charles,male,94 Wern Ddu Lane,LUFFINCOTT,,United Kingdom,CharlesHJones@armyspy.com,077 8710 9129,61,5/21/1958,EP 94 90 05 C,A+,Parkinson's Disease
Barbara,female,4998 Milford Street,Londonderry,New Hampshire,United States,BarbaraCFiske@cuvox.de,603-674-8900,66,5/30/1953,003-01-9371,O+,Post Menopausal Bleeding
Sarah,female,6 Temple Way,WISWELL,,United Kingdom,SarahMPatel@dayrep.com,078 0364 4704,77,12/31/1942,WM 06 29 33 B,O+,Appendicitis
Celina,female,79 Pinchelone Street,Norfolk,Virginia,United States,CelinaRAlcott@dayrep.com,757-284-5970,23,7/3/1996,692-01-2794,A+,Adult Inclusion Conjunctivitis
William,male,4151 Elk Street,Newport Beach,California,United States,WilliamJOwens@fleckens.hu,949-717-5567,65,12/23/1954,607-43-5670,O+,Kaposi’s Sarcoma
